Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,CVSS v3.0 Temporal Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
"22964","","","None","10.46.254.236","tcp","443","Service Detection","The remote service could be identified.","Nessus was able to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.","n/a","","A web server is running on this port through TLSv1.","","None","","","","2007/08/19","2024/03/26","","",""
"24260","","","None","10.46.254.236","tcp","443","HyperText Transfer Protocol (HTTP) Information","Some information about the remote HTTP configuration can be extracted.","This test gives some information about the remote HTTP protocol - the
version used, whether HTTP Keep-Alive is enabled, etc... 

This test is informational only and does not denote any security
problem.","n/a","","
Response Code : HTTP/1.1 200 OK

Protocol version : HTTP/1.1
HTTP/2 TLS Support: No
HTTP/2 Cleartext Support: No
SSL : yes
Keep-Alive : no
Options allowed : (Not implemented)
Headers :

  Date: Mon, 04 Nov 2024 05:46:21 GMT
  Connection: close
  Transfer-Encoding: chunked
  Content-Type: text/html
  Pragma: no-cache
  Expires: Mon, 04 Nov 2024 05:46:21 GMT
  Last-Modified: Mon, 04 Nov 2024 05:46:21 GMT
  Cache-Control: no-cache
  X-Frame-Options: sameorigin
  Set-Cookie: sessionId=;PATH=/;Secure;HttpOnly
  
Response Body :


   <!DOCTYPE HTML>
<HTML>
<HEAD>
<meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"" />

<TITLE>Cisco Systems Login</TITLE>

<META http-equiv=Content-Type content=""text/html; charset=utf-8"">
<meta charset=""UTF-8"">
<link rel=""stylesheet"" href=""css/icon_styles_ciscologo.css"">
<link rel=""stylesheet"" href=""css/login.css"">
<STYLE type=text/css>
.logintitle {
	FONT-WEIGHT: bold; FONT-SIZE: 12px; COLOR: #ffffff; FONT-FAMILY: Verdana, Arial, Helvetica, sans-serif
}
.login {
	FONT-WEIGHT: normal; FONT-SIZE: 11px; COLOR: #ffffff; FONT-FAMILY: Verdana, Arial, Helvetica, sans-serif
}
.style1 {
	font-family: Verdana, Arial, Helvetica, sans-serif;
	font-weight: bold;
}
TEXTAREA.area{
        COLOR: #4682B4;
        BACKGROUND-COLOR: #FFFFFF;
}
span.copyright {
	font-family: Arial, Helvetica, sans-serif;
	font-size: 12px;
        font-weight: bold;
        text-align: left;
	color: #999999;
}
</STYLE>
<script type=""text/javascript"" src=""../javascript/jquery-2.0.3.min.js?ver=8.5.140.0""></script>
<script src=""javascript/angular-1.3.3/angular.min.js?ver=8.5.140.0""></script>
<script src=""javascript/angular-1.3.3/angular-route.min.js?ver=8.5.140.0""></script>
<script src=""javascript/controllers/rfdashboard.js?ver=8.5.140.0""></script>
<script src=""javascript/translate.js?ver=8.5.140.0""></script>
<script>

	function replaceSpaceHTML(str) {
		var retVal = str;
		if ((typeof retVal === 'string')|| (retVal instanceof String)) {
			var lines = retVal.split('\n');
			retVal = """";
			for(var i = 0;i < lines.length;i++) {
				var newStr = lines[i].trim();
				retVal += newStr.replace(/\t/g, '').replace(/ /g, '&nbsp;').replace(/\r/g, '') + ""<br \>"";
			}
		}
		return retVal;
	}
	function loginAction(){
		document.location.href=""screens/preframeset.html"";
	}
	window.onload = function () {
		if(document.getElementById(""loginBanner"") !== null){
			document.getElementById(""banner"").innerHTML = replaceSpaceHTML(document.getElementById(""loginBanner"").value);
		}
		var message = """";

	  message = ""2005 - "";

		document.getElementById(""copyrightYear"").innerHTML = ""&copy ""+ message + document.getElementById(""systemtime"").value;
	}
</SCRIPT>
<META content=""MSHTML 6.00.2900.2180"" name=GENERATOR>
</HEAD>
<BODY text=#000000 leftMargin=0 topMargin=0 marginwidth=""0"" marginheight=""0"" height=""100%"" ng-app=""rfDashboard"">
<FORM method=""post"" ACTION=""/main_login.html"">
<INPUT id=""systemtime"" style=""display:none"" type=""TEXT"" readonly name=""systemtime"" SIZE=""1"" MAXLENGTH=""31"" VALUE=""2024
"">
<div class=""configLoginScreen"" valign=""middle"" id=""loginPage"">
	<div class=""configLoginScreenContainer"">
		<div class=""configLoginCompanyLogoWrapper"">
			<div class=""icon-cisco_logo""  title=""{{'login_cisco_logo' | translate }}"" id=""cisco_logo""></div>
		</div>
		<div class=""configProductName"">
			{{'login_product_name' | translate }}
		</div>
		<div class=""configWelcomeMessage"">
			{{'login_welcome_message' | translate }}
		</div>
	   	<p></p>
		<div id=""banner"" class=""configWelcomeMessage""></div>
		<div class=""configLoginFields"">
			<BUTTON class=""k-button"" name=""bSubmit "" onclick=""loginAction()"" type=""button"">{{'login_action_login' | translate }}</button>
		</div>
                <div id=""copyrightmessage"" class=""configLoginCopyright"">
			<span id=""copyrightYear""></span>
			{{'login_copyrights_latest' | translate}}
		</div>
	</div>
</div>

</FORM>
</BODY></HTML>

","","None","","","","2007/01/30","2024/02/26","","",""
"25220","","","None","10.46.254.236","tcp","0","TCP/IP Timestamps Supported","The remote service implements TCP timestamps.","The remote host implements TCP timestamps, as defined by RFC1323.  A
side effect of this feature is that the uptime of the remote host can
sometimes be computed.","n/a","http://www.ietf.org/rfc/rfc1323.txt","","","None","","","","2007/05/16","2023/10/17","","",""
"43111","","","None","10.46.254.236","tcp","443","HTTP Methods Allowed (per directory)","This plugin determines which HTTP methods are allowed on various CGI
directories.","By calling the OPTIONS method, it is possible to determine which HTTP
methods are allowed on each directory.

The following HTTP methods are considered insecure:
  PUT, DELETE, CONNECT, TRACE, HEAD

Many frameworks and languages treat 'HEAD' as a 'GET' request, albeit
one without any body in the response. If a security constraint was
set on 'GET' requests such that only 'authenticatedUsers' could
access GET requests for a particular servlet or resource, it would be
bypassed for the 'HEAD' version. This allowed unauthorized blind
submission of any privileged GET request.

As this list may be incomplete, the plugin also tests - if 'Thorough
tests' are enabled or 'Enable web applications tests' is set to 'yes'
in the scan policy - various known HTTP methods on each directory and
considers them as unsupported if it receives a response code of 400,
403, 405, or 501.

Note that the plugin output is only informational and does not
necessarily indicate the presence of any security vulnerabilities.","n/a","http://www.nessus.org/u?d9c03a9a
http://www.nessus.org/u?b019cbdb
https://www.owasp.org/index.php/Test_HTTP_Methods_(OTG-CONFIG-006)","Based on the response to an OPTIONS request :

  - HTTP methods  GET  OPTIONS HEAD are allowed on : 

    /

","","None","","","","2009/12/10","2022/04/11","","",""
"45590","","","None","10.46.254.236","tcp","0","Common Platform Enumeration (CPE)","It was possible to enumerate CPE names that matched on the remote
system.","By using information obtained from a Nessus scan, this plugin reports
CPE (Common Platform Enumeration) matches for various hardware and
software products found on a host. 

Note that if an official CPE is not available for the product, this
plugin computes the best possible CPE based on the information
available from the scan.","n/a","http://cpe.mitre.org/
https://nvd.nist.gov/products/cpe","
The remote operating system matched the following CPE : 

  cpe:/o:cisco:wireless_lan_controller_software:8.5.140.0 -> Cisco Wireless LAN Controller (WLC) Software -

Following application CPE matched on the remote system : 

  cpe:/a:jquery:jquery:2.0.3 -> jQuery
","","None","","","","2010/04/21","2024/10/10","","",""
"50845","","","None","10.46.254.236","tcp","443","OpenSSL Detection","The remote service appears to use OpenSSL to encrypt traffic.","Based on its response to a TLS request with a specially crafted
server name extension, it seems that the remote service is using the
OpenSSL library to encrypt traffic.

Note that this plugin can only detect OpenSSL implementations that
have enabled support for TLS extensions (RFC 4366).","n/a","https://www.openssl.org/","","","None","","","","2010/11/30","2020/06/12","","",""
"51192","","6.4","Medium","10.46.254.236","tcp","443","SSL Certificate Cannot Be Trusted","The SSL certificate for this service cannot be trusted.","The server's X.509 certificate cannot be trusted. This situation can
occur in three different ways, in which the chain of trust can be
broken, as stated below :

  - First, the top of the certificate chain sent by the
    server might not be descended from a known public
    certificate authority. This can occur either when the
    top of the chain is an unrecognized, self-signed
    certificate, or when intermediate certificates are
    missing that would connect the top of the certificate
    chain to a known public certificate authority.

  - Second, the certificate chain may contain a certificate
    that is not valid at the time of the scan. This can
    occur either when the scan occurs before one of the
    certificate's 'notBefore' dates, or after one of the
    certificate's 'notAfter' dates.

  - Third, the certificate chain may contain a signature
    that either didn't match the certificate's information
    or could not be verified. Bad signatures can be fixed by
    getting the certificate with the bad signature to be
    re-signed by its issuer. Signatures that could not be
    verified are the result of the certificate's issuer
    using a signing algorithm that Nessus either does not
    support or does not recognize.

If the remote host is a public host in production, any break in the
chain makes it more difficult for users to verify the authenticity and 
identity of the web server. This could make it easier to carry out 
man-in-the-middle attacks against the remote host.","Purchase or generate a proper SSL certificate for this service.","https://www.itu.int/rec/T-REC-X.509/en
https://en.wikipedia.org/wiki/X.509","
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : C=US/O=Cisco Systems Inc./OU=DeviceSSL (WebAdmin)/CN=10.46.254.236
|-Issuer  : C=US/O=Cisco Systems Inc./OU=DeviceSSL (WebAdmin)/CN=10.46.254.236
","","Medium","","","","2010/12/15","2020/04/27","","",""
"54615","","","None","10.46.254.236","tcp","0","Device Type","It is possible to guess the remote device type.","Based on the remote operating system, it is possible to determine
what the remote system type is (eg: a printer, router, general-purpose
computer, etc).","n/a","","Remote device type : wireless-access-point
Confidence level : 95
","","None","","","","2011/05/23","2022/09/09","","",""
"56984","","","None","10.46.254.236","tcp","443","SSL / TLS Versions Supported","The remote service encrypts communications.","This plugin detects which SSL and TLS versions are supported by the
remote service for encrypting communications.","n/a","","
This port supports TLSv1.0/TLSv1.1/TLSv1.2.
","","None","","","","2011/12/01","2023/07/10","","",""
"57582","","6.4","Medium","10.46.254.236","tcp","443","SSL Self-Signed Certificate","The SSL certificate chain for this service ends in an unrecognized
self-signed certificate.","The X.509 certificate chain for this service is not signed by a
recognized certificate authority.  If the remote host is a public host
in production, this nullifies the use of SSL as anyone could establish
a man-in-the-middle attack against the remote host. 

Note that this plugin does not check for certificate chains that end
in a certificate that is not self-signed, but is signed by an
unrecognized certificate authority.","Purchase or generate a proper SSL certificate for this service.","","
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : C=US/O=Cisco Systems Inc./OU=DeviceSSL (WebAdmin)/CN=10.46.254.236
","","Medium","","","","2012/01/17","2022/06/14","","",""
"66334","","","None","10.46.254.236","tcp","0","Patch Report","The remote host is missing several patches.","The remote host is missing one or more security patches. This plugin lists the newest version of each patch to install 
to make sure the remote host is up-to-date.

Note: Because the 'Show missing patches that have been superseded' setting in your scan policy depends on this plugin,
it will always run and cannot be disabled.","Install the patches listed below.","","

. You need to take the following action :

[ SSH Terrapin Prefix Truncation Weakness (CVE-2023-48795) (187315) ]

+ Action to take : Contact the vendor for an update with the strict key exchange countermeasures or disable the affected algorithms.


","","None","","","","2013/07/08","2024/10/15","","",""
"70122","","","None","10.46.254.236","tcp","0","Cisco Wireless LAN Controller (WLC) Version","It is possible to obtain the WLC version of the remote Cisco device.","The remote host is running Cisco Wireless LAN Controller (WLC), an operating system for Cisco switches. It is possible
to read the WLC version by connecting to the switch using SSH, SNMP, and/or CAPWAP.","n/a","","
  Path         : /
  Version      : 8.5.140.0
  Build Info   : Engineering Special
  Description  : Cisco 3500 Series Wireless LAN Controller
  Model        : AIR-CT3504-K9
  Name         : Chassis
  Port         : 0
  Product Name : Cisco Controller
  Protocol     : TCP
  Source       : SSH
","","None","","IAVT:0001-T-0569","","2013/09/25","2022/10/12","","",""
"70544","","","None","10.46.254.236","tcp","443","SSL Cipher Block Chaining Cipher Suites Supported","The remote service supports the use of SSL Cipher Block Chaining
ciphers, which combine previous blocks with subsequent ones.","The remote host supports the use of SSL ciphers that operate in Cipher
Block Chaining (CBC) mode.  These cipher suites offer additional
security over Electronic Codebook (ECB) mode, but have the potential to
leak information if used improperly.","n/a","https://www.openssl.org/docs/manmaster/man1/ciphers.html
http://www.nessus.org/u?cc4a822a
https://www.openssl.org/~bodo/tls-cbc.txt","
Here is the list of SSL CBC ciphers supported by the remote server :

  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    AES128-SHA                    0x00, 0x2F       RSA           RSA      AES-CBC(128)           SHA1
    AES256-SHA                    0x00, 0x35       RSA           RSA      AES-CBC(256)           SHA1
    CAMELLIA128-SHA               0x00, 0x41       RSA           RSA      Camellia-CBC(128)      SHA1
    CAMELLIA256-SHA               0x00, 0x84       RSA           RSA      Camellia-CBC(256)      SHA1
    IDEA-CBC-SHA                  0x00, 0x07       RSA           RSA      IDEA-CBC(128)          SHA1
    SEED-SHA                      0x00, 0x96       RSA           RSA      SEED-CBC(128)          SHA1
    RSA-AES128-SHA256             0x00, 0x3C       RSA           RSA      AES-CBC(128)           SHA256
    RSA-AES256-SHA256             0x00, 0x3D       RSA           RSA      AES-CBC(256)           SHA256

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
","","None","","","","2013/10/22","2021/02/03","","",""
"70657","","","None","10.46.254.236","tcp","22","SSH Algorithms and Languages Supported","An SSH server is listening on this port.","This script detects which algorithms and languages are supported by
the remote service for encrypting communications.","n/a","","
Nessus negotiated the following encryption algorithm with the server : 

The server supports the following options for kex_algorithms : 

  curve25519-sha256@libssh.org
  diffie-hellman-group-exchange-sha256
  diffie-hellman-group14-sha1
  ecdh-sha2-nistp256
  ecdh-sha2-nistp384
  ecdh-sha2-nistp521

The server supports the following options for server_host_key_algorithms : 

  ecdsa-sha2-nistp256
  rsa-sha2-256
  rsa-sha2-512
  ssh-rsa

The server supports the following options for encryption_algorithms_client_to_server : 

  aes128-ctr
  aes128-gcm@openssh.com
  aes192-ctr
  aes256-ctr
  aes256-gcm@openssh.com
  chacha20-poly1305@openssh.com

The server supports the following options for encryption_algorithms_server_to_client : 

  aes128-ctr
  aes128-gcm@openssh.com
  aes192-ctr
  aes256-ctr
  aes256-gcm@openssh.com
  chacha20-poly1305@openssh.com

The server supports the following options for mac_algorithms_client_to_server : 

  hmac-sha1
  hmac-sha1-etm@openssh.com
  hmac-sha2-256
  hmac-sha2-256-etm@openssh.com
  hmac-sha2-512
  hmac-sha2-512-etm@openssh.com
  umac-128-etm@openssh.com
  umac-128@openssh.com
  umac-64-etm@openssh.com
  umac-64@openssh.com

The server supports the following options for mac_algorithms_server_to_client : 

  hmac-sha1
  hmac-sha1-etm@openssh.com
  hmac-sha2-256
  hmac-sha2-256-etm@openssh.com
  hmac-sha2-512
  hmac-sha2-512-etm@openssh.com
  umac-128-etm@openssh.com
  umac-128@openssh.com
  umac-64-etm@openssh.com
  umac-64@openssh.com

The server supports the following options for compression_algorithms_client_to_server : 

  none
  zlib
  zlib@openssh.com

The server supports the following options for compression_algorithms_server_to_client : 

  none
  zlib
  zlib@openssh.com
","","None","","","","2013/10/28","2017/08/28","","",""
"84502","","","None","10.46.254.236","tcp","443","HSTS Missing From HTTPS Server","The remote web server is not enforcing HSTS.","The remote HTTPS server is not enforcing HTTP Strict Transport Security (HSTS). 
HSTS is an optional response header that can be configured on the server to instruct 
the browser to only communicate via HTTPS. The lack of HSTS allows downgrade attacks,
SSL-stripping man-in-the-middle attacks, and weakens cookie-hijacking protections.","Configure the remote web server to use HSTS.","https://tools.ietf.org/html/rfc6797","
HTTP/1.1 200 OK
Date: Mon, 04 Nov 2024 05:45:53 GMT
Connection: close
Transfer-Encoding: chunked
Content-Type: text/html
Pragma: no-cache
Expires: Mon, 04 Nov 2024 05:45:53 GMT
Last-Modified: Mon, 04 Nov 2024 05:45:53 GMT
Cache-Control: no-cache
X-Frame-Options: sameorigin
Set-Cookie: sessionId=w9sYgIgmrdhmADD075UOPEiT7UwjZAZ;PATH=/;Secure;HttpOnly


The remote HTTPS server does not send the HTTP
""Strict-Transport-Security"" header.
","","None","","","","2015/07/02","2024/08/09","","",""
"104743","","6.1","Medium","10.46.254.236","tcp","443","TLS Version 1.0 Protocol Detection","The remote service encrypts traffic using an older version of TLS.","The remote service accepts connections encrypted using TLS 1.0. TLS 1.0 has a
number of cryptographic design flaws. Modern implementations of TLS 1.0
mitigate these problems, but newer versions of TLS like 1.2 and 1.3 are
designed against these flaws and should be used whenever possible.

As of March 31, 2020, Endpoints that aren’t enabled for TLS 1.2
and higher will no longer function properly with major web browsers and major vendors.

PCI DSS v3.2 requires that TLS 1.0 be disabled entirely by June 30,
2018, except for POS POI terminals (and the SSL/TLS termination
points to which they connect) that can be verified as not being
susceptible to any known exploits.","Enable support for TLS 1.2 and 1.3, and disable support for TLS 1.0.","https://tools.ietf.org/html/draft-ietf-tls-oldversions-deprecate-00","TLSv1 is enabled and the server supports at least one cipher.","","Medium","","CWE:327","","2017/11/22","2023/04/19","","",""
"106658","","","None","10.46.254.236","tcp","443","JQuery Detection","The web server on the remote host uses JQuery.","Nessus was able to detect JQuery on the remote host.","n/a","https://jquery.com/","
  URL     : https://10.46.254.236/javascript/jquery-2.0.3.min.js?ver=8.5.140.0
  Version : 2.0.3
","","None","","","","2018/02/07","2024/02/08","","",""
"117887","","","None","10.46.254.236","tcp","0","OS Security Patch Assessment Available","Nessus was able to log in to the remote host using the provided
credentials and enumerate OS security patch levels.","Nessus was able to determine OS security patch levels by logging
into the remote host and running commands to determine the version
of the operating system and its components.  The remote host was
identified as an operating system or device that Nessus supports for
patch and update assessment.  The necessary information was obtained
to perform these checks.","n/a","","OS Security Patch Assessment is available.

","","None","","IAVB:0001-B-0516","","2018/10/02","2021/07/12","","",""
"121010","","","None","10.46.254.236","tcp","443","TLS Version 1.1 Protocol Detection","The remote service encrypts traffic using an older version of TLS.","The remote service accepts connections encrypted using TLS 1.1.
TLS 1.1 lacks support for current and recommended cipher suites.
Ciphers that support encryption before MAC computation, and
authenticated encryption modes such as GCM cannot be used with
TLS 1.1

As of March 31, 2020, Endpoints that are not enabled for TLS 1.2 
and higher will no longer function properly with major web browsers and major vendors.","Enable support for TLS 1.2 and/or 1.3, and disable support for TLS 1.1.","https://tools.ietf.org/html/draft-ietf-tls-oldversions-deprecate-00
http://www.nessus.org/u?c8ae820d","TLSv1.1 is enabled and the server supports at least one cipher.","","None","","CWE:327","","2019/01/08","2023/04/19","","",""
"130208","CVE-2019-15262","7.8","High","10.46.254.236","tcp","0","Cisco Wireless LAN Controller Secure Shell (SSH) Denial of Service Vulnerability (cisco-sa-20191016-wlc-ssh-dos)","The remote device is missing a vendor-supplied security patch","According to its self-reported version, Cisco Wireless LAN Controller (WLC) is affected by a denial of service (DoS)
vulnerability in its Secure Shell (SSH) component due to insufficient process cleanup. An authenticated, remote 
attacker can exploit this issue, by repeatedly initiating SSH connections, to exhaust system resources and cause the 
system to stop responding. 

Please see the included Cisco BIDs and Cisco Security Advisory for more information","Upgrade to the relevant fixed version referenced in Cisco bug ID 
  CSCvp34148","http://www.nessus.org/u?728814ab
https://bst.cloudapps.cisco.com/bugsearch/bug/CSCvp34148","
  Cisco bug ID      : CSCvp34148
  Installed release : 8.5.140.0
  Fixed release     : 8.5.151.0
","6.5","High","","CISCO-BUG-ID:CSCvp34148;CISCO-SA:cisco-sa-20191016-wlc-ssh-dos;CWE:20","","2019/10/25","2024/05/14","","",""
"130259","CVE-2019-15266","2.1","Medium","10.46.254.236","tcp","0","Cisco Wireless LAN Controller Path Traversal Vulnerability","The remote device is missing a vendor-supplied security patch","According to its self-reported version, Cisco Wireless LAN Controller (WLC) is affected by a directory traversal
vulnerability due to improper sanitization of user-supplied input in command-line parameters that describe file names.
An authenticated, local attacker can exploit this to view system files that should be restricted.

Please see the included Cisco BIDs and Cisco Security Advisory for more information.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version
number.","Upgrade to the relevant fixed version referenced in Cisco bug ID CSCvq59683","http://www.nessus.org/u?d2da8949
https://bst.cloudapps.cisco.com/bugsearch/bug/CSCvq59683","
  Cisco bug ID      : CSCvq59683
  Installed release : 8.5.140.0
  Fixed release     : 8.5.160.0
","3.9","Low","","CISCO-BUG-ID:CSCvq59683;CISCO-SA:cisco-sa-20191016-wlc-pathtrav;CWE:22","","2019/10/25","2024/05/14","","",""
"131230","CVE-2019-15276","4.0","Medium","10.46.254.236","tcp","0","Cisco Wireless LAN Controller HTTP Parsing Engine Denial of Service Vulnerability","The remote device is missing a vendor-supplied security patch","A denial of service (DoS) vulnerability exists in Cisco Wireless Lan Controller due to a HTTP Parsing Engine Vulnerability.
An unauthenticated, remote attacker can exploit this issue, via a HTTP request, to cause the device to stop responding.
Please see the included Cisco Bug IDs and Cisco Security Advisory for more information","Upgrade to the relevant fixed version for your machine as referenced in Cisco bug ID CSCvp92098","http://www.nessus.org/u?8f68b41a
http://www.nessus.org/u?eafb222d","
  Cisco bug ID      : CSCvp92098
  Installed release : 8.5.140.0
  Fixed release     : 8.5.160.0
","5.9","Medium","","CISCO-BUG-ID:CSCvp92098;CISCO-SA:cisco-sa-20191106-wlc-dos;IAVA:2019-A-0424-S;CWE:20","","2019/11/22","2024/05/14","","",""
"136318","","","None","10.46.254.236","tcp","443","TLS Version 1.2 Protocol Detection","The remote service encrypts traffic using a version of TLS.","The remote service accepts connections encrypted using TLS 1.2.","N/A","https://tools.ietf.org/html/rfc5246","TLSv1.2 is enabled and the server supports at least one cipher.","","None","","","","2020/05/04","2020/05/04","","",""
"139036","CVE-2020-3262","5.0","High","10.46.254.236","tcp","0","Cisco Wireless LAN Controller CAPWAP DoS (cisco-sa-wlc-capwap-dos-Y2sD9uEw)","The remote device is missing a vendor-supplied security patch","According to its self-reported version, the Control and Provisioning of Wireless Access Points (CAPWAP) protocol
handler of Cisco Wireless LAN Controller (WLC) is affected by a vulnerability due to insufficient validation of CAPWAP
packets. An unauthenticated, remote attacker can exploit this, by sending a malformed CAPWAP packet to an affected
device, in order to cause a denial of service (DoS).

Please see the included Cisco BIDs and Cisco Security Advisory for more information.","Upgrade to the relevant fixed version referenced in Cisco bug ID CSCvq59667","http://www.nessus.org/u?15aca64f
http://tools.cisco.com/security/center/viewErp.x?alertId=ERP-73978
https://bst.cloudapps.cisco.com/bugsearch/bug/CSCvq59667","
  Cisco bug ID      : CSCvq59667
  Installed release : 8.5.140.0
  Fixed release     : 8.5.160.0
","6.5","Medium","","CISCO-BUG-ID:CSCvq59667;CISCO-SA:cisco-sa-wlc-capwap-dos-Y2sD9uEw;IAVA:2019-A-0424-S;CWE:20","","2020/07/28","2024/05/14","","",""
"141118","","","None","10.46.254.236","tcp","22","Target Credential Status by Authentication Protocol - Valid Credentials Provided","Valid credentials were provided for an available authentication protocol.","Nessus was able to determine that valid credentials were provided for
an authentication protocol available on the remote target because it
was able to successfully authenticate directly to the remote target
using that authentication protocol at least once. Authentication was
successful because the authentication protocol service was available
remotely, the service was able to be identified, the authentication
protocol was able to be negotiated successfully, and a set of
credentials provided in the scan policy for that authentication
protocol was accepted by the remote service. See plugin output for
details, including protocol, port, and account.

Please note the following :

- This plugin reports per protocol, so it is possible for
  valid credentials to be provided for one protocol and not
  another. For example, authentication may succeed via SSH
  but fail via SMB, while no credentials were provided for
  an available SNMP service.

- Providing valid credentials for all available
  authentication protocols may improve scan coverage, but
  the value of successful authentication for a given
  protocol may vary from target to target depending upon
  what data (if any) is gathered from the target via that
  protocol. For example, successful authentication via SSH
  is more valuable for Linux targets than for Windows
  targets, and likewise successful authentication via SMB
  is more valuable for Windows targets than for Linux
  targets.","n/a","","
Nessus was able to log in to the remote host via the following :

User:       'auditor'
Port:       22
Proto:      SSH
","","None","","","","2020/10/15","2024/03/25","","",""
"141369","CVE-2020-3492","7.8","High","10.46.254.236","tcp","0","Cisco AireOS Software for Cisco Wireless LAN Controllers (WLC) DoS (cisco-sa-iosxe-wlc-fnfv9-EvrAQpNX)","The remote device is missing a vendor-supplied security patch","According to its self-reported version, the remote Cisco Wireless LAN Controller (WLC) device is affected by a DoS
vulnerability in the Flexible NetFlow Version 9 packet processor due to insufficient validation of certain parameters
in a Flexible NetFlow Version 9 record. An unauthenticated, remote attacker could cause a DoS condition on an affected
device. Please see the included Cisco BID and Cisco Security Advisory for more information.","Upgrade to the relevant fixed version referenced in Cisco bug ID CSCvr53845","http://www.nessus.org/u?f624c003
http://tools.cisco.com/security/center/viewErp.x?alertId=ERP-74268
https://bst.cloudapps.cisco.com/bugsearch/bug/CSCvr53845","
  Cisco bug ID      : CSCvr53845
  Installed release : 8.5.140.0
  Fixed release     : 8.5.160.0
","7.5","High","","CISCO-BUG-ID:CSCvr53845;CISCO-SA:cisco-sa-iosxe-wlc-fnfv9-EvrAQpNX;IAVA:2020-A-0439-S;CWE:20","","2020/10/12","2024/05/14","","",""
"152684","","","None","10.46.254.236","tcp","22","SSH Cisco Wireless LAN Controller (WLC) Enumeration","The remote device is a Cisco Wireless LAN Controller (WLC).","The remote device is a Cisco Wireless LAN Controller (WLC).","n/a","http://www.nessus.org/u?d2102cd2
https://quickview.cloudapps.cisco.com/quickview/bug/CSCve45024","The remote host has has been identified as a Cisco Wireless LAN Controller (WLC) device that does NOT
directly put the user into the device user CLI when login in through an SSH terminal session but ends
up at a username prompt and requires re-entry of credentials (Cisco Bug: CSCve45024).

Nessus has managed to run commands in support of OS fingerprinting","","None","","","","2021/08/19","2024/07/24","","",""
"153588","","","None","10.46.254.236","tcp","22","SSH SHA-1 HMAC Algorithms Enabled","The remote SSH server is configured to enable SHA-1 HMAC algorithms.","The remote SSH server is configured to enable SHA-1 HMAC algorithms.

Although NIST has formally deprecated use of SHA-1 for digital signatures, SHA-1 is still considered secure for HMAC as
the security of HMAC does not rely on the underlying hash function being resistant to collisions.

Note that this plugin only checks for the options of the remote SSH server.","n/a","","
The following client-to-server SHA-1 Hash-based Message Authentication Code (HMAC) algorithms are supported : 

  hmac-sha1
  hmac-sha1-etm@openssh.com

The following server-to-client SHA-1 Hash-based Message Authentication Code (HMAC) algorithms are supported : 

  hmac-sha1
  hmac-sha1-etm@openssh.com
","","None","","","","2021/09/23","2022/04/05","","",""
